county,counts,RUCC_2023,urban,share_black
5087,59.83333333333333,2.0,1.0,0.0008486905916585839
5089,38.5,9.0,0.0,0.007582089552238806
5091,25.0,3.0,1.0,0.2548338192419825
5093,29.833333333333332,4.0,0.0,0.3483597574340615
5095,4.833333333333334,9.0,0.0,0.42879907286686947
5097,4.833333333333333,8.0,0.0,0.005395894428152493
5099,2.583333333333333,9.0,0.0,0.3526378896882494
5101,15.166666666666668,9.0,0.0,0.0005447364837259975
5103,8.916666666666666,7.0,0.0,0.4211217079359524
5105,22.833333333333332,2.0,1.0,0.02545743834526651
5107,19.333333333333336,7.0,0.0,0.638480174909886
5109,7.666666666666666,9.0,0.0,0.03996482313855775
5111,9.333333333333332,3.0,1.0,0.04118559365845252
5113,8.0,7.0,0.0,0.00405627438899158
5115,64.83333333333334,5.0,0.0,0.024923300755922445
5117,17.5,8.0,0.0,0.11016132915964363
5119,432.49999999999994,2.0,1.0,0.372750552231417
5121,19.5,7.0,0.0,0.009543433467085999
5123,17.833333333333336,6.0,0.0,0.533759471701308
5125,89.16666666666666,2.0,1.0,0.08125388363802859
5127,11.5,8.0,0.0,0.029311039484286865
5129,4.166666666666666,9.0,0.0,0.004192073170731708
5131,114.16666666666667,3.0,1.0,0.06112973948929585
5133,15.5,6.0,0.0,0.029239766081871343
5135,10.833333333333332,9.0,0.0,0.009627095053065011
5137,12.666666666666666,9.0,0.0,0.0012131996117761242
5139,49.75,7.0,0.0,0.3273903519942947
5141,5.499999999999999,8.0,0.0,0.009778562866696108
5143,148.33333333333331,2.0,1.0,0.0344285049404225
5145,34.83333333333333,4.0,0.0,0.04469672397015893
5147,11.333333333333334,9.0,0.0,0.28406758250434233
5149,9.0,9.0,0.0,0.01840011713602421
6001,0.5,1.0,1.0,0.10198352432233421
6003,0.0,8.0,0.0,0.005952380952380952
6005,0.0,6.0,0.0,0.0248659433844619
6007,0.0,3.0,1.0,0.018353802941014484
6009,0.0,6.0,0.0,0.009680478070078723
6011,0.0,6.0,0.0,0.016620752984389347
6013,0.5,1.0,1.0,0.08630878850042568
6015,0.0,7.0,0.0,0.02975953715422166
6017,0.0,1.0,1.0,0.008600604508626842
6019,0.0,1.0,1.0,0.04513980959976075
6021,0.0,6.0,0.0,0.005858761987794246
6023,0.0,5.0,0.0,0.012699432174814252
6025,2.0,3.0,1.0,0.02715341764277899
6027,0.0,6.0,0.0,0.004679855349925548
6029,0.0,2.0,1.0,0.0538191607298232
6031,0.0,3.0,1.0,0.06596351234799555
6033,0.0,4.0,0.0,0.023911792055971305
6035,0.0,7.0,0.0,0.08570821572733618
6037,3.0,1.0,1.0,0.07936546590769025
6039,0.0,1.0,1.0,0.0297177295526666
6041,0.0,1.0,1.0,0.022840308399425278
6043,0.0,8.0,0.0,0.00865021770682148
6045,0.0,4.0,0.0,0.006937312911049446
6047,0.5,2.0,1.0,0.028862618663800823
6049,0.0,8.0,0.0,0.019717986931101685
6051,0.0,7.0,0.0,0.0013542999021894516
6053,0.0,2.0,1.0,0.02491838533966051
6055,0.5,3.0,1.0,0.02054108577398321
