county,counts,RUCC_2023,urban,share_black
2198,3.0,9.0,0.0,0.0027183146449201497
2220,7.0,7.0,0.0,0.005987320967363231
2230,0.0,9.0,0.0,0.029345372460496615
2240,7.0,9.0,0.0,0.010804497006862316
2261,4.0,9.0,0.0,0.015
2275,4.0,9.0,0.0,0.0013876040703052729
2282,0.0,9.0,0.0,0.03202846975088968
2290,0.0,8.0,0.0,0.0009203018590097553
4001,39.5,8.0,0.0,0.008514735306064116
4003,40.166666666666664,3.0,1.0,0.03893134652895469
4005,103.0,3.0,1.0,0.014040098798139946
4007,33.5,4.0,0.0,0.007630001315517468
4009,17.5,7.0,0.0,0.01997640581989776
4011,2.0,9.0,0.0,0.019178369314609096
4012,10.0,6.0,0.0,0.006114574057583853
4013,3441.5,1.0,1.0,0.05624582969445313
4015,126.0,3.0,1.0,0.01054081429802058
4017,52.0,4.0,0.0,0.010121096717913123
4019,682.1666666666666,1.0,1.0,0.03443075445649202
4021,156.16666666666666,1.0,1.0,0.04611708766716196
4023,40.5,6.0,0.0,0.004550913343025093
4025,207.0,3.0,1.0,0.006484479594848346
4027,110.0,3.0,1.0,0.0206559444970041
5001,6.0,6.0,0.0,0.25664331615816594
5003,13.0,7.0,0.0,0.2505939469063113
5005,14.833333333333334,7.0,0.0,0.002724467161732086
5007,147.66666666666666,2.0,1.0,0.018014592465581437
5009,10.916666666666666,7.0,0.0,0.002456936840699693
5011,6.333333333333333,7.0,0.0,0.2634707936208361
5013,11.5,9.0,0.0,0.22219912700062358
5015,33.25,6.0,0.0,0.005008169354265824
5017,9.0,9.0,0.0,0.5363767419509851
5019,8.0,7.0,0.0,0.24382215216282627
5021,5.5,9.0,0.0,0.00586590273514767
5023,35.166666666666664,6.0,0.0,0.002656149388280747
5025,13.666666666666666,8.0,0.0,0.14544025157232704
5027,10.916666666666666,7.0,0.0,0.35786813091035863
5029,15.166666666666666,6.0,0.0,0.10426838110890897
5031,67.0,3.0,1.0,0.1550580204778157
5033,39.75,3.0,1.0,0.015525023560339269
5035,40.333333333333336,1.0,1.0,0.49542802763871074
5037,7.5,6.0,0.0,0.15718925302627695
5039,9.0,8.0,0.0,0.4328066215199398
5041,10.5,9.0,0.0,0.48152645273200345
5043,11.333333333333334,7.0,0.0,0.2889612243732511
5045,103.16666666666667,2.0,1.0,0.11761411142047715
5047,6.583333333333333,8.0,0.0,0.008042426714843523
5049,5.166666666666666,9.0,0.0,0.0028164347249834327
5051,42.5,3.0,1.0,0.08292374666479427
5053,34.666666666666664,2.0,1.0,0.022108083966056274
5055,42.33333333333333,4.0,0.0,0.02430745647651374
5057,13.333333333333332,6.0,0.0,0.30336084905660377
5059,37.166666666666664,6.0,0.0,0.11152405124486343
5061,3.6666666666666665,8.0,0.0,0.20497906002791996
5063,14.5,7.0,0.0,0.019181924013123082
5065,17.5,9.0,0.0,0.008789277081960008
5067,6.333333333333333,6.0,0.0,0.10889915866808864
5069,30.833333333333332,4.0,0.0,0.5579260692972038
5071,12.833333333333334,7.0,0.0,0.016168336363284724
5073,3.6666666666666665,8.0,0.0,0.3555625294209948
5075,6.666666666666666,6.0,0.0,0.013319420574515099
5077,9.333333333333334,8.0,0.0,0.5494791666666666
5079,24.5,9.0,0.0,0.2985029025358998
5081,11.0,3.0,1.0,0.2029081295439524
5083,12.5,8.0,0.0,0.014366871684116626
5085,32.333333333333336,2.0,1.0,0.056174143909839616
5087,52.91666666666667,2.0,1.0,0.0008486905916585839
5089,25.916666666666664,9.0,0.0,0.007582089552238806
5091,26.0,3.0,1.0,0.2548338192419825
5093,19.333333333333332,4.0,0.0,0.3483597574340615
5095,3.6666666666666665,9.0,0.0,0.42879907286686947
5097,7.166666666666667,8.0,0.0,0.005395894428152493
5099,2.583333333333333,9.0,0.0,0.3526378896882494
5101,9.75,9.0,0.0,0.0005447364837259975
5103,10.416666666666666,7.0,0.0,0.4211217079359524
5105,2.5,2.0,1.0,0.02545743834526651
5107,19.0,7.0,0.0,0.638480174909886
5109,7.833333333333333,9.0,0.0,0.03996482313855775
5111,5.833333333333333,3.0,1.0,0.04118559365845252
5113,5.0,7.0,0.0,0.00405627438899158
5115,53.833333333333336,5.0,0.0,0.024923300755922445
5117,13.0,8.0,0.0,0.11016132915964363
5119,369.5,2.0,1.0,0.372750552231417
5121,17.333333333333332,7.0,0.0,0.009543433467085999
